kind,url,name,source_price,live_prices
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=154,"Абонемент УЛЬТРА 12 месяцев (Ровио,3)",15990,[15.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=157,Абонемент УЛЬТРА 12 месяцев ДВОЙНОЕ / СЕМЕЙНЫЙ,4035,[4.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=158,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,12990,[0.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=159,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),10990,[10.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=160,"Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (Промышленная,10)",7989,[7.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=161,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ+подарок,0,[11.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=162,Абонемент УЛЬТРА 12+2 месяца в подарок,11990,[11.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=163,Абонемент УЛЬТРА 12+2 месяца в подарок (Ровио),13990,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=164,Абонемент УЛЬТРА 12+6 месяцев,14991,[14.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=166,Абонемент Ультра 15 месяцев (подарок),12990,[12.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=167,Абонемент УЛЬТРА 15 месяцев (рассрочка),12990,[12.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=169,Абонемент УЛЬТРА 24 месяца,23000,[23.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=170,Абонемент УЛЬТРА 3 месяца,8000,[8.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=171,Абонемент УЛЬТРА 6 месяцев СПЕЦПРЕДЛОЖЕНИЕ,7000,[7.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=172,Абонемент УЛЬТРА 6+6 месяцев,13991,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=173,Абонемент УЛЬТРА 9 месяцев,14990,[14.0]
