source,length_bucket,product_name,clients
csv,12_24_plus_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),2
csv,12_24_plus_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,2
csv,12_24_plus_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,1
csv,12_24_plus_months,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,1
csv,12_24_plus_months,Абонемент УЛЬТРА 12 месяцев ДВОЙНОЕ / СЕМЕЙНЫЙ,1
csv,12_24_plus_months,"Холодные 13 900,00 МУЛЬТИ 24 месяца",1
sql,01_up_to_2_weeks,Абонемент Неделя Фитнес 1 рубль,15
sql,01_up_to_2_weeks,Абонемент 2 недели Фитнес,10
sql,01_up_to_2_weeks,Абонемент УЛЬТРА 12 месяцев,2
sql,01_up_to_2_weeks,Абонемент Неделя Фитнес,2
sql,01_up_to_2_weeks,Абонемент УЛЬТРА 3 месяца,1
sql,01_up_to_2_weeks,Абонемент НЕДЕЛЯ ФИТНЕСА БЕСПЛАТНО,1
sql,02_1_month,Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,126
sql,02_1_month,"Абонемент УЛЬТРА 1 МЕСЯЦ ХОЛОДНЫЕ 990,00",105
sql,02_1_month,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),2
sql,02_1_month,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),1
sql,02_1_month,Абонемент УЛЬТРА 1 МЕСЯЦ БЕСПЛАТНО,1
sql,03_2_months,Абонемент в солярий на 100 минут,2
sql,03_2_months,Абонемент УЛЬТРА 12 месяцев,2
sql,03_2_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),1
sql,03_2_months,Абонемент МУЛЬТИКАРТА 12 месяцев + подарок,1
sql,03_2_months,УЛЬТРА 9 месяцев + 3 месяца в подарок,1
sql,04_3_months,Абонемент УЛЬТРА 3 месяца,41
sql,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,5
sql,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,4
sql,04_3_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (вип),3
sql,04_3_months,АБОНЕМЕНТ САЙКЛ 12 пос без клубной карты,2
sql,04_3_months,Абонемент УЛЬТРА 12 месяцев,2
sql,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев,2
sql,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца заморозки в подарок СПЕЦПРЕДЛОЖЕНИЕ,1
sql,04_3_months,Абонемент в солярий на 100+50 минут,1
sql,04_3_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),1
sql,04_3_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),1
sql,04_3_months,МУЛЬТИКАРТА 9 месяцев + 3 месяца в подарок,1
sql,04_3_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,1
sql,05_4_5_months,Абонемент УЛЬТРА 12 месяцев,11
sql,05_4_5_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,5
sql,05_4_5_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),4
