url,clubs,live_name,source_name,source_cell,source_price,source_number_format,source_xml_value,live_prices,classification,match_basis,catalog_active_purchases,catalog_total_purchases
https://fitnes-imperiya.fitbase.io/services/update?id=35,,Заморозка на 7 дней,,,,,,200.0,unmatched_name,,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=36,,Заморозка на 30 дней,,,,,,600.0,unmatched_name,,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=129,,Step-1 разовое посещение без клубной карты,Step-1 разовое посещение без клубной карты,B3,300,General,300,300.0,equal,exact_name,0,6
https://fitnes-imperiya.fitbase.io/services/update?id=130,,Йога (персональная тренировка) 12 пос. (группа до 4 человек),Йога (персональная тренировка) 12 пос. (группа до 4 человек),B4,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=131,,Йога (персональная тренировка) 12 пос. VIP (1 человек),Йога (персональная тренировка) 12 пос. VIP (1 человек),B5,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=132,,Йога (персональная тренировка) 8 пос. (группа до 4 человек),Йога (персональная тренировка) 8 пос. (группа до 4 человек),B6,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=133,,Йога (персональная тренировка) 8 пос. VIP (1 человек),Йога (персональная тренировка) 8 пос. VIP (1 человек),B7,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=134,,Йога в гамаках(при наличии клубной карты),Йога в гамаках(при наличии клубной карты),B8,400,General,400,400.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=135,,Сайкл для начинающих без клубной карты,Сайкл для начинающих без клубной карты,B9,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=136,,Сайкл для начинающих при наличии клубной карты,Сайкл для начинающих при наличии клубной карты,B10,300,General,300,300.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=137,,Сайкл разовое без клубной карты,Сайкл разовое без клубной карты,B11,1100,General,1100,1100.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=138,,Сайкл разовое при наличии клубной карты,Сайкл разовое при наличии клубной карты,B12,300,General,300,300.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=139,,Стрип-пластика,Стрип-пластика,B13,4500,General,4500,4500.0,equal,exact_name,0,5
https://fitnes-imperiya.fitbase.io/services/update?id=140,,Пакет 10 (персональные тренировки),Пакет 10 (персональные тренировки),B22,6000,General,6000,6000.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=141,,Пакет 10 ВИП (персональные тренировки),Пакет 10 ВИП (персональные тренировки),B23,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=142,,Пакет 12 (персональные тренировки),Пакет 12 (персональные тренировки),B24,6000,General,6000,6000.0,equal,exact_name,0,42
https://fitnes-imperiya.fitbase.io/services/update?id=143,,Пакет 12 ВИП (персональные тренировки),Пакет 12 ВИП (персональные тренировки),B25,9500,General,9500,9500.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=144,,Пакет 4 (персональные тренировки),Пакет 4 (персональные тренировки),B26,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=145,,Пакет 8,Пакет 8,B27,5000,General,5000,5000.0,equal,exact_name,0,16
https://fitnes-imperiya.fitbase.io/services/update?id=146,,Пакет 8 ВИП,Пакет 8 ВИП,B28,8700,General,8700,8700.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=147,,Пробная П/Т,Пробная П/Т,B29,270,General,270,270.0,equal,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=148,,Разовая,Разовая,B30,1200,General,1200,1200.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=149,,Разовая ВИП,Разовая ВИП,B31,1300,General,1300,1300.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=150,,Субаренда 1 посещение,Субаренда 1 посещение,B32,2000,General,2000,2000.0,equal,exact_name,0,4
https://fitnes-imperiya.fitbase.io/services/update?id=151,,Разовое посещение,Разовое посещение,B38,800,General,800,800.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=152,,Медленный класс (10 посещений) двойное предложение,Медленный класс (10 посещений) двойное предложение,B39,13000,General,13000,13000.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=153,,Пакет 6,Пакет 6,B40,6700,General,6700,6700.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=154,,Солярий 1 минута,Солярий 1 минута,B41,30,General,30,30.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=155,,Солярий 5 минут,Солярий 5 минут,B44,150,General,150,150.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=156,,Step-1 разовое посещение при наличии клубной карты,Step-1 разовое посещение при наличии клубной карты,B48,300,General,300,300.0,equal,exact_name,0,5
https://fitnes-imperiya.fitbase.io/services/update?id=157,,Йога (персональная тренировка) VIP,Йога (персональная тренировка) VIP,B49,1200,General,1200,1200.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=158,,Персональная тренировка VIP,Персональная тренировка VIP,B52,1000,General,1000,1000.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=159,,Аренда рекламного места А2,Аренда рекламного места А2,B53,2200,General,2200,0.0,zero,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=160,,Восстановление пластиковой карты,Восстановление пластиковой карты,B14,500,General,500,0.0,zero,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=161,,Заморозка абонемента 90 дней,Заморозка абонемента 90 дней,B19,2300,General,2300,0.0,zero,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=162,,Переоформление платное абонемента на фитнес,Переоформление платное абонемента на фитнес,B21,0,General,0,0.0,equal,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=163,,Подарочный сертификат на сумму 1500,Подарочный сертификат на сумму 1500,B34,1500,General,1500,0.0,zero,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=164,,Подарочный сертификат на сумму 2000,Подарочный сертификат на сумму 2000,B35,2000,General,2000,0.0,zero,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=165,,Подарочный сертификат на сумму 3000,Подарочный сертификат на сумму 3000,B36,3000,General,3000,0.0,zero,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=173,,Доплата,Доплата,B15,11230,General,11230,0.0,zero,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=174,,Заморозка абонемента 14 дней,Заморозка абонемента 14 дней,B18,600,General,600,0.0,zero,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=175,,Перевод из клуба в клуб,Перевод из клуба в клуб,B20,2000,General,2000,0.0,zero,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=176,,Утеря ключа от шкафчика,Утеря ключа от шкафчика,B47,400,General,400,0.0,zero,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=1,,Step-1 разовое посещение без клубной карты,Step-1 разовое посещение без клубной карты,B3,300,General,300,300.0,equal,exact_name,0,3
https://fitnes-imperiya.fitbase.io/services/update?id=2,,Йога (персональная тренировка) 12 пос. (группа до 4 человек),Йога (персональная тренировка) 12 пос. (группа до 4 человек),B4,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=3,,Йога (персональная тренировка) 12 пос. VIP (1 человек),Йога (персональная тренировка) 12 пос. VIP (1 человек),B5,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=4,,Йога (персональная тренировка) 8 пос. (группа до 4 человек),Йога (персональная тренировка) 8 пос. (группа до 4 человек),B6,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=5,,Йога (персональная тренировка) 8 пос. VIP (1 человек),Йога (персональная тренировка) 8 пос. VIP (1 человек),B7,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=6,,Йога в гамаках(при наличии клубной карты),Йога в гамаках(при наличии клубной карты),B8,400,General,400,400.0,equal,exact_name,0,5
https://fitnes-imperiya.fitbase.io/services/update?id=7,,Сайкл для начинающих без клубной карты,Сайкл для начинающих без клубной карты,B9,0,General,0,300.0,other,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=8,,Сайкл для начинающих при наличии клубной карты,Сайкл для начинающих при наличии клубной карты,B10,300,General,300,300.0,equal,exact_name,0,5
https://fitnes-imperiya.fitbase.io/services/update?id=11,,Стрип-пластика,Стрип-пластика,B13,4500,General,4500,4500.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=12,,Пакет 10 (персональные тренировки),Пакет 10 (персональные тренировки),B22,6000,General,6000,6000.0,equal,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=13,,Пакет 10 ВИП (персональные тренировки),Пакет 10 ВИП (персональные тренировки),B23,0,General,0,0.0,equal,exact_name,0,0
