client_ref,client_id,subscription_ref,candidate_for_funnel,rank_number,auto_rank_reason,manual_override_applied,selection_status,selection_reason,candidate_count
AA9BA4BF01266AD311E8AACDADBAC0F1,000004481,B824FCD6AFAC692247DA4D558FBCAE26,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,6
AA9BA4BF01266AD311E8AACDADBAC0F1,000004481,99E18F3902AF205546E342D87E2F8993,reactivation,5,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,6
AA9BA4BF01266AD311E8AACDADBAC0F1,000004481,AAB5A4BF01266AD311E99C9A1B437B4F,reactivation,6,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,6
AA9BA4BF01266AD311E8AACDADBAC0F2,000004482,92CBBEA945296B1E4F929653ED442951,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0F3,000004483,859748DFE6583CD44660B25243F8DB73,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0F3,000004483,A83C93F95F1A5D5E41C9CEF54CD813ED,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0F3,000004483,BAE706774C5AECCB4073FE37E3F6160B,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0F3,000004483,95B62D551F45DD7E48D2EA6A8E6FD4B8,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0F3,000004483,8C70BC3E105528894E08294828A8ECF0,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0F3,000004483,B3A65C24C785D7874A94416207C616AD,reactivation,5,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0F3,000004483,AAABA4BF01266AD311E938F8E6A56D3B,reactivation,6,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
AA9BA4BF01266AD311E8AACDADBAC0F3,000004483,842123F2105EACCE4790A001A34817AC,reactivation,7,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,8
